item,risk_pass,high_cv_pass,monitor_pass,pred_cv,pred_range_over_mean,cv_n_listings,cv_source,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,base_price,n_listings,avg_discount,median_discount,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,steam_discount_risk_score,risk_collected_at_utc,status,error,sort_by,collected_at_utc,currency,cap_hit,discount_sample_n,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_band_risk%,steam_daily_ret_3d,trade_days,steam_trade_currency,model_ready,has_summary,summary_ready,has_fit,fit_ready,monitor_pass_before_model_ready,tier,liquidity_score,liquidity_rank
MAC-10 | Whitefish (Factory New),True,True,True,0.1819,0.5371196956321725,42,summary,True,True,True,True,True,8.29,38,0.2406920809272383,0.2397974182858059,58,4.620592080520085,4.011676845102697,0.9595009943952272,1.5263157894736843,0.0484541674199965,0.0142829736023071,-0.0353417965599117,0.3817037420244871,0.1369201586480428,0.2086250652046665,2026-05-21T21:20:51.597156+00:00,ok,,best_deal,2026-04-18T03:09:48.533204+00:00,,False,8,8.68375,11.43375,1/1->1/1,5.5837,5.531,5.307,5.455,5.713,5.8068,4.72,8.413,8.951053960635413,0.043924392439244,7,3,True,True,True,True,True,True,C,0.07644052044609666,496.0
MP7 | Sunbaked (Factory New),True,True,True,0.1719,0.5642907058001398,73,summary,True,True,True,True,True,4.79,50,0.1997725096955946,0.1981371933473293,172,4.670829440975453,4.86749594375339,0.9521970062771608,3.44,-0.0575304022450887,0.0074416373632799,-0.0489147864241448,0.275682382133995,0.0213399503722085,0.1640452096603531,2026-05-21T21:22:33.440153+00:00,ok,,best_deal,2026-04-18T06:27:24.894422+00:00,,True,8,6.14125,7.67375,1/1,4.0678,4.142,3.944,4.03,4.22,4.272,1.407,4.423,8.063326613894494,-0.0450236966824643,7,3,True,True,True,True,True,True,B,0.43355018587360594,308.0
Desert Eagle | Calligraffiti (Factory New),True,True,True,0.1351,0.4621188305564288,130,summary,True,True,True,True,True,16.21,50,0.2057365307499747,0.1978374604669941,101,4.483076036623511,9.331543850526652,0.9075788155056024,2.02,-0.0587747287811103,0.005838783301753,-0.0310917660578889,0.17658824327073,0.0409858295477659,0.1220212311038511,2026-05-21T21:21:53.363774+00:00,ok,,best_deal,2026-04-17T06:51:29.866760+00:00,,True,8,16.825,21.19375,1/1,14.2313,14.369,13.041,14.024,14.662,14.861,9.024,16.138,12.78871220478804,-0.0011512935121223,7,3,True,True,True,True,True,True,C,0.2472118959107807,406.0
Desert Eagle | Blue Ply (Factory New),True,True,True,0.1639,0.46563063849601294,92,summary,True,True,True,True,True,7.53,50,0.1712197349307185,0.1742992895858338,129,7.657130702967145,11.191463717253365,0.8909687446036954,2.58,-0.0636909871244636,-0.013581698933688,-0.055817779217809,0.2017785111844518,0.0087092042537587,0.0703827582910623,2026-05-21T21:25:06.054437+00:00,ok,,best_deal,2026-04-17T06:50:23.217719+00:00,,True,8,8.7025,10.5025,1/1,5.6418,5.791,5.1596,5.454,5.886,5.953,4.255,6.663,14.06288773086604,-0.0675329116088221,7,3,True,True,True,True,True,True,C,0.3294609665427509,359.0
AUG | Amber Fade (Factory New),True,True,True,0.2081,0.6454511418944217,145,summary,True,True,True,True,True,13.93,50,0.1721782640680775,0.1667389133884391,251,2.934210061158842,5.497224873616855,0.9454002808988764,5.02,0.0109580601153018,0.0108547685076057,-0.0241728995488557,0.2242730280341283,0.0694758836844854,0.1327979451570654,2026-05-21T21:24:53.903180+00:00,ok,,best_deal,2026-04-17T01:49:56.720847+00:00,,True,8,18.575,22.42125,1/1,11.3148,11.392,10.77,11.154,11.486,11.728,9.881,12.183,8.46678686322339,0.0082514044943822,7,3,True,True,True,True,True,True,B,0.5715613382899628,231.0
Five-SeveN | Scumbria (Factory New),True,True,True,0.1706,0.48757850447050094,33,summary,True,True,True,True,True,14.63,26,0.1669162791125297,0.1550661761114819,60,10.040909326290716,14.765677593081673,0.8535340045202382,2.3076923076923075,0.0940757285683897,0.0290970148611739,-0.015954083565626,0.4010110338793564,0.1413017061196714,0.0296500052471679,2026-05-21T21:25:29.115820+00:00,ok,,best_deal,2026-04-17T12:51:03.665482+00:00,,False,8,17.44875,20.915,1/1->1/1,9.6555,9.734,8.3083,9.187,10.1565,10.8711,4.764,12.047,26.542385169074635,0.1178548141708324,7,3,True,True,True,True,True,True,C,0.12755576208178437,472.0
FAMAS | Faulty Wiring (Factory New),True,True,True,0.1641,0.6164579669157819,179,summary,True,True,True,True,True,21.05,50,0.1650851909788897,0.1540371289698827,73,7.138798320672176,1.287631783651377,0.9867687074829932,1.46,0.1154836542767576,0.0203114935445054,0.0045176634366979,0.2258493501279668,0.1308024288653584,0.1600275752844435,2026-05-21T21:25:58.082500+00:00,ok,,best_deal,2026-04-17T10:05:41.221334+00:00,,True,8,25.17875,30.1825,1/1,18.1263,17.64,17.4066,17.476,18.77,19.927,16.285,20.073,13.904657872814632,0.1296485260770974,7,3,True,True,True,True,True,True,C,0.13080855018587362,468.0
Tec-9 | Flash Out (Factory New),True,True,True,0.2123,0.5158092175777064,38,summary,True,True,True,True,True,8.05,38,0.1141955973755421,0.1441463433954138,146,14.494141685023775,7.989336908980631,0.9204419011285964,3.842105263157895,0.0774413575112293,0.0122695035027377,-0.0560467632231446,0.4090172160889371,0.0992048174168146,0.0480029128135903,2026-05-21T21:36:35.996233+00:00,ok,,best_deal,2026-04-18T19:38:30.950524+00:00,,False,8,10.6825,12.06875,1/1->1/1,6.2646,6.291,5.7905,5.91,6.818,6.826,2.141,7.053,16.52938735114772,0.0224169231983581,7,3,True,True,True,True,True,True,B,0.3993959107806691,326.0
Tec-9 | Safety Net (Factory New),True,True,True,0.1834,0.5864945863247703,124,summary,True,True,True,True,True,27.73,50,0.1466778986752098,0.1439829170411035,72,1.058646194832964,3.280401023591674,0.967230451377946,1.44,0.0342404036763379,0.0055352841831066,-0.0098658657450784,0.1466109078236626,0.0496253702735668,0.1216216849660676,2026-05-21T21:29:04.913597+00:00,ok,,best_deal,2026-04-18T20:29:42.828492+00:00,,True,8,34.6575,40.585,1/1,28.527,28.557,27.6212,28.401,28.703,29.74,24.224,30.101,7.427349528516832,0.0208837341682084,7,3,True,True,True,True,True,True,C,0.12453531598513011,475.0
Glock-18 | Wraiths (Factory New),True,True,True,0.1586,0.43416576927678924,67,summary,True,True,True,True,True,19.34,42,0.1390992609375072,0.1404658834826649,93,6.6144617209613,8.131057938480252,0.9205254274601892,2.2142857142857144,-0.0119783891376983,0.0062869588437917,-0.0558557168665576,0.3700759074720295,0.0664460193546065,0.0679303711146468,2026-05-21T21:31:20.021034+00:00,ok,,best_deal,2026-04-17T20:11:20.103336+00:00,,False,8,23.08125,26.81,1/1->1/1,13.3193,13.627,12.544,12.957,13.838,13.9012,10.36,14.17,10.189724685231196,0.0116092874299438,7,3,True,True,True,True,True,True,C,0.24140334572490707,409.0
FAMAS | Crypsis (Factory New),True,True,True,0.2135,0.5343774625689519,97,summary,True,True,True,True,True,4.48,50,0.1456199912898442,0.1365758019558747,381,4.001926238355385,4.931834409923444,0.9513194558269136,7.62,-0.0460089547630075,0.0027797450134101,-0.0361999829939073,0.2081242919566273,0.0419161676646707,0.115011792507104,2026-05-21T21:29:30.311645+00:00,ok,,best_deal,2026-04-17T10:00:58.556360+00:00,,True,8,5.57,6.5175,1/1,6.0221,6.101,5.804,5.955,6.196,6.267,2.481,6.45,7.688347918500192,-0.0059523809523809,7,3,True,True,True,True,True,True,A,0.70817843866171,158.0
