item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc
AK-47 | Aphrodite (Factory New),ok,,best_deal,2026-04-17T00:32:28.693179+00:00,470.0,,50,True,8,-0.0123457078182232,-0.0092446808510638,475.84875,470.04625,1/1,602.5653,619.533,498.022,554.456,659.9795,666.6938,498.022,671.531,7,17.512375837108447,27.99228564937278,20.165615245351837,0.8038667835288839,0.14,-0.2128637632450121,-0.15542354034334105,-0.17556075982305497,-0.04946819759288781,,0.233060874081983,0.0,7,3,2026-05-26T01:51:07.180777+00:00
AK-47 | Aphrodite (Minimal Wear),ok,,best_deal,2026-04-17T00:32:36.971279+00:00,45.92,,50,True,8,-0.0098842031510376,-0.0050087108013937,46.38375,45.93,1/1,49.757,47.577,43.514,45.236,50.7055,58.0658,43.514,108.483,298,10.99242317663847,29.24573426854513,8.165685230218854,0.9146015932068017,5.96,-0.07468887066101489,-0.09053097165581181,-0.11827766631260073,-0.02374427026134621,-0.06668103207729004,0.18092582264361404,0.007250418293363142,7,3,2026-05-26T01:32:15.515018+00:00
AK-47 | Aquamarine Revenge (Battle-Scarred),ok,,best_deal,2026-04-17T00:32:43.053753+00:00,41.59,,50,True,8,0.011086361084951,0.00996374884462,40.8875,41.3475,1/1,40.0149,40.136,38.003,39.533,40.8745,41.3292,36.359,42.625,75,3.3525011933054847,8.312403629647957,5.3305143833921935,0.9468556906517839,1.5,-0.03425998257553019,0.025877335195669815,0.040935894515728766,-0.001001103953953697,0.004940284507484849,0.05153110222341074,0.05153110222341074,7,3,2026-05-25T23:16:47.255738+00:00
AK-47 | Aquamarine Revenge (Factory New),ok,,best_deal,2026-04-17T00:32:47.137024+00:00,265.6,,50,True,8,-0.0281479153093054,-0.0349227170953782,290.58,283.11875,1/1,227.798,209.449,201.7267,202.546,263.8505,266.1365,200.207,270.249,8,26.911781490618893,28.27496290573228,3.389977084961246,0.9631304040601768,0.16,-0.060758526374379486,-0.02739713125947696,-0.11657270930819452,-0.03229832154573353,,1.4189793744553114,0.020151060327297406,7,3,2026-05-26T03:48:31.785508+00:00
AK-47 | Aquamarine Revenge (Field-Tested),ok,,best_deal,2026-04-17T00:32:52.674079+00:00,42.43,,50,True,8,0.0006209828401829,0.0,43.3375,43.36125,1/1,46.4813,45.43,43.5172,44.378,48.727,51.1114,34.352,61.322,185,9.35645087379225,16.33818331242887,4.115203318323707,0.9578956636583756,3.7,-0.027089093184339816,0.19431492109038762,0.15413444249474662,0.015294940598165116,0.04708140684856832,0.1626999023950748,0.1626999023950748,7,3,2026-05-26T00:16:51.145415+00:00
AK-47 | Aquamarine Revenge (Minimal Wear),ok,,best_deal,2026-04-17T00:32:58.323907+00:00,73.6,,50,True,8,-0.0014349808811427,0.0004162619675314,72.48875,72.3825,1/1,75.0144,75.0585,69.251,72.2363,77.041,81.5783,63.721,89.88,72,6.405036899581944,16.433244816995128,7.741846898728764,0.9226270175929443,1.44,-0.07110565334165576,0.018138120593273133,0.007899994742100125,1.8330572929579703e-05,-0.03749530534663814,0.2508183679591011,0.07077741695684503,7,3,2026-05-26T00:36:30.044507+00:00
AK-47 | Aquamarine Revenge (Well-Worn),ok,,best_deal,2026-04-17T00:33:02.511494+00:00,37.77,,50,True,8,-0.0272900932534091,-0.0293690002523201,38.17125,37.1575,1/1,41.0534,40.989,39.325,39.994,41.911,42.925,35.914,48.77,87,4.669527980630109,8.769066630291263,4.053257464667955,0.9594037424674914,1.74,-0.05906765664368088,0.053896549572596264,0.07055572457154424,-0.001879622496649794,0.007938631336655844,0.07201553508418777,0.06590570014445721,7,3,2026-05-26T03:44:17.698730+00:00
AK-47 | Asiimov (Field-Tested),ok,,best_deal,2026-04-17T00:33:32.182464+00:00,43.59,,50,True,8,0.0292555578484883,0.0291526480507544,49.83,51.3325,1/1,49.4259,49.143,47.615,48.4157,50.225,51.501,43.876,62.911,628,3.6606313693832595,7.862274637386463,3.0914965635425937,0.9689070671306188,12.56,0.020985786003683254,-0.010791438526630226,-0.010377659150665353,-0.00016247814388600394,-0.0076702991425730005,0.06615945091882533,0.026065253708512,7,3,2026-05-25T22:19:23.646928+00:00
AK-47 | B the Monster (Field-Tested),ok,,best_deal,2026-04-17T00:34:01.693595+00:00,230.37,,50,True,8,-0.0182251565173772,-0.0179612367672251,243.955,239.5125,1/1,167.8674,167.269,150.721,154.9522,176.64,191.1072,23.763,219.562,138,12.919602019212773,24.05839370836744,9.857780605406411,0.9010695347015885,2.76,-0.1052992056728881,-0.12076961588157165,-0.25445495726799905,-0.040737995286021435,-0.11849843285529782,0.3610220809863479,0.0,7,3,2026-05-26T02:37:05.943770+00:00
AK-47 | B the Monster (Minimal Wear),ok,,best_deal,2026-04-17T00:34:06.949880+00:00,406.1,,50,True,8,0.0052613979193507,0.0061811626486998,404.99375,407.11125,1/1,281.7686,277.066,251.93,259.587,297.318,314.83,243.817,375.386,61,13.390775267364779,22.323282296182036,8.920795290887618,0.9092779337775116,1.22,-0.07701949550051271,-0.0756833038949688,-0.23246611466277967,-0.031397592094481085,-0.09414426224263206,0.3028740738405893,0.0,7,3,2026-05-25T23:45:47.401621+00:00
AK-47 | Baroque Purple (Factory New),ok,,best_deal,2026-04-17T00:34:34.958208+00:00,139.8,,50,True,8,0.0341026632154147,0.0215924930173928,156.40125,162.27625,1/1,113.5744,106.622,101.9579,106.51,121.8238,131.8527,95.722,136.883,20,13.483496280852023,26.321776738419928,4.106647272624821,0.9562557445930483,0.4,-0.004041248797268755,-0.19137936066510175,-0.22456078622663989,-0.056238564666648526,,0.4440193459900381,0.0,7,3,2026-05-25T22:10:55.045263+00:00
AK-47 | Baroque Purple (Field-Tested),ok,,best_deal,2026-04-17T00:34:39.590209+00:00,6.04,,50,True,8,0.0499464544927371,0.0492063492063491,5.99125,6.30625,1/1,7.1541,7.014,6.801,6.929,7.259,7.691,6.003,10.004,96,4.612739547951525,12.440418780838955,2.9773137082232575,0.9696321642429426,1.92,0.029480974439472892,-0.0242415847070232,-0.10187428279994903,-0.004709703565732708,-0.041586484182091654,0.15261215218625784,0.018881317433276548,7,3,2026-05-25T21:54:26.120742+00:00
AK-47 | Baroque Purple (Minimal Wear),ok,,best_deal,2026-04-17T00:34:43.973465+00:00,16.18,,50,True,8,0.0193543045725417,0.0230135529516881,16.84875,17.18,1/1,12.9246,12.641,12.02,12.029,13.382,13.613,11.469,22.96,81,10.468409080358384,12.325333085743466,4.804790863933897,0.9508741397041373,1.62,-0.020327578240402367,-0.0482977038796516,-0.11147250147841525,-0.017592632037712348,-0.06521473072067585,0.19592346089850254,0.0,7,3,2026-05-25T22:42:58.240590+00:00
AK-47 | Black Laminate (Minimal Wear),ok,,best_deal,2026-04-17T00:35:18.513081+00:00,101.26,,50,True,8,0.0298122213624749,0.0310673013732243,98.26375,101.28625,1/1,91.8904,88.122,76.7312,84.5027,106.1372,106.846,69.29,106.846,10,23.543808711247316,32.77252030680028,12.396071842107553,0.8707382946369806,0.2,-0.09256487213764814,-0.20126532942978603,-0.22227909768065812,-0.02744073884047712,,1.763850116883412,0.0,7,3,2026-05-25T22:18:24.871844+00:00
AK-47 | Bloodsport (Factory New),ok,,best_deal,2026-04-17T00:35:35.344003+00:00,205.14,,50,True,8,-0.0250396778944154,-0.0245990774967389,208.45375,203.36625,1/1,232.7393,233.9535,218.4535,228.047,236.8475,247.68,198.18,264.469,36,3.7812694289275597,12.557612745247587,6.65981207299326,0.9337475182034036,0.72,-0.08692722968619701,0.1382917596524036,0.14609804295446271,0.0048436491356868795,0.038740086269491325,0.17857291402773107,0.17857291402773107,7,3,2026-05-26T03:25:50.970436+00:00
AK-47 | Bloodsport (Field-Tested),ok,,best_deal,2026-04-17T00:35:39.334291+00:00,146.32,,50,True,8,0.0026589425227556,0.0010135819987837,148.57625,148.98125,1/1,160.0138,159.536,149.5498,155.047,165.491,170.1588,132.618,184.544,75,6.526937051679303,12.879514141905265,6.240836727832223,0.9374047236987263,1.5,-0.051790624582125876,0.06871463742602679,-0.042319356885481496,0.0005365708190034901,,0.10848594995106939,0.06429652502142612,7,3,2026-05-26T00:05:03.944202+00:00
AK-47 | Bloodsport (Minimal Wear),ok,,best_deal,2026-04-17T00:35:42.978310+00:00,165.66,,50,True,8,-0.0061325296057399,-0.0049732915822434,167.845,166.8275,1/1,185.7144,185.623,168.7155,179.9263,192.4385,194.977,162.18,232.655,66,6.737334315486579,14.14079899027755,9.104032859056701,0.9089148435269336,1.32,-0.08986309849848892,0.00157609206589715,-0.012039123058711798,-0.0010880589940806778,,0.10298599761473556,0.040185078846238745,7,3,2026-05-26T01:05:34.826546+00:00
AK-47 | Bloodsport (Well-Worn),ok,,best_deal,2026-04-17T00:35:54.491335+00:00,145.8,,30,False,8,-0.0264270036251183,-0.0297881081983163,147.28375,143.5,1/1->1/1,148.716,152.815,136.8762,150.088,155.2695,156.8022,120.555,156.927,7,3.4841577234460313,13.398692810457508,10.717609403157686,0.8956987206753264,0.23333333333333334,-0.13178148826974853,-0.11629696197785,-0.12194542230901662,-0.004781140796821706,,0.3238321688553975,0.0,7,3,2026-05-26T03:37:58.170094+00:00
